price_per_sqft,location,num_res_price_lv_3,num_res_price_lv_4,Starbucks,Whole Foods,Movie Theater,Equinox
1549.2957746478874,"(40.7833546, -73.9499982)",2,0,2,1,0,1
1549.2957746478874,"(40.7833546, -73.9499982)",2,0,2,1,0,1
1549.2957746478874,"(40.7833546, -73.9499982)",2,0,2,1,0,1
1549.2957746478874,"(40.7833546, -73.9499982)",2,0,2,1,0,1
3872.6076555023924,"(40.7363219, -74.0018035)",4,1,4,0,1,2
2586.5946918578497,"(40.736608, -73.9822819)",5,2,4,0,0,0
114.45797094196156,"(40.66911, -73.789339)",0,0,0,0,0,0
280.73286052009456,"(40.6499031, -73.7354706)",0,0,0,0,0,0
531.8181818181819,"(40.5784263, -74.105437)",2,0,0,0,0,0
4006.0289829686544,"(40.6282935, -74.0379695)",1,0,0,0,0,0
4006.0289829686544,"(40.6282935, -74.0379695)",1,0,0,0,0,0
4006.0289829686544,"(40.6282935, -74.0379695)",1,0,0,0,0,0
4006.0289829686544,"(40.6282935, -74.0379695)",1,0,0,0,0,0
1458.3333333333333,"(40.6282935, -74.0379695)",1,0,0,0,0,0
1458.3333333333333,"(40.6282935, -74.0379695)",1,0,0,0,0,0
1458.3333333333333,"(40.6282935, -74.0379695)",1,0,0,0,0,0
1458.3333333333333,"(40.6282935, -74.0379695)",1,0,0,0,0,0
452.1276595744681,"(40.6239146, -73.9291226)",0,0,0,0,0,0
344.0,"(40.7267732, -74.002538)",2,0,3,0,3,0
1529.790660225443,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1529.790660225443,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1529.790660225443,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1529.790660225443,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1529.790660225443,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1529.790660225443,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1529.790660225443,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1529.790660225443,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1529.790660225443,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1628.5714285714287,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1628.5714285714287,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1628.5714285714287,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1628.5714285714287,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1628.5714285714287,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1628.5714285714287,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1628.5714285714287,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1628.5714285714287,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1628.5714285714287,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1537.1024734982332,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1537.1024734982332,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1537.1024734982332,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1537.1024734982332,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1537.1024734982332,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1537.1024734982332,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1537.1024734982332,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1537.1024734982332,"(40.7986579, -73.9679035)",0,0,1,0,1,0
1537.1024734982332,"(40.7986579, -73.9679035)",0,0,1,0,1,0
199.74554707379136,"(40.6362368, -73.939679)",0,0,0,0,0,0
395.0,"(40.7700395, -73.9638872)",3,0,2,0,0,0
274.69913026070776,"(40.8429545, -73.8249591)",0,0,0,0,0,0
313.4920634920635,"(40.6105856, -74.1268175)",0,0,0,0,0,0
490.0,"(40.6170731, -74.0383836)",1,0,0,0,0,0
649.1228070175439,"(40.8809873, -73.9224337)",0,0,0,0,0,0
112.16881152312233,"(40.8690109, -73.8564445)",0,0,0,0,0,0
167.71488469601678,"(40.8969146, -73.8654984)",0,0,0,0,0,0
4583.333333333333,"(40.782238, -73.9846322)",2,0,1,0,1,2
280.0,"(40.6241766, -74.0216837)",0,0,1,0,0,0
624.3055555555555,"(40.5159004, -74.2314825)",0,0,0,0,0,0
297.1328925653322,"(40.6813429, -73.9981509)",0,0,0,0,0,0
338.33776210443835,"(40.5877991, -73.9216187)",0,0,0,0,0,0
498.3333333333333,"(40.5247627, -74.1681035)",0,0,0,0,0,0
1119.6145124716554,"(40.6680619, -73.9748375)",0,0,1,0,0,0
331.97139938712974,"(40.7897507, -73.9487257)",0,0,1,0,0,1
137.3491072984701,"(40.7810583, -73.9808407)",1,0,4,0,2,2
570.9745762711865,"(40.8235127, -73.9467514)",0,0,2,0,0,0
1212.733703890854,"(40.6178184, -74.0151165)",0,0,0,0,0,0
510.29411764705884,"(40.5423126, -74.1555672)",0,0,0,0,0,0
242.05481377371748,"(40.8726182, -73.8651768)",0,0,0,0,0,0
202.02020202020202,"(40.665357, -73.8770867)",0,0,0,0,0,0
202.02020202020202,"(40.665357, -73.8770867)",0,0,0,0,0,0
202.02020202020202,"(40.665357, -73.8770867)",0,0,0,0,0,0
202.02020202020202,"(40.665357, -73.8770867)",0,0,0,0,0,0
202.02020202020202,"(40.665357, -73.8770867)",0,0,0,0,0,0
202.02020202020202,"(40.665357, -73.8770867)",0,0,0,0,0,0
202.02020202020202,"(40.665357, -73.8770867)",0,0,0,0,0,0
202.02020202020202,"(40.665357, -73.8770867)",0,0,0,0,0,0
158.4098317836748,"(40.6837891, -73.8381042)",0,0,0,0,0,0
158.4098317836748,"(40.6837891, -73.8381042)",0,0,0,0,0,0
158.4098317836748,"(40.6837891, -73.8381042)",0,0,0,0,0,0
158.4098317836748,"(40.6837891, -73.8381042)",0,0,0,0,0,0
158.4098317836748,"(40.6837891, -73.8381042)",0,0,0,0,0,0
158.4098317836748,"(40.6837891, -73.8381042)",0,0,0,0,0,0
158.4098317836748,"(40.6837891, -73.8381042)",0,0,0,0,0,0
158.4098317836748,"(40.6837891, -73.8381042)",0,0,0,0,0,0
121.32544919847925,"(40.67538, -73.7472571)",0,0,0,0,0,0
260.62091503267976,"(40.5604695, -74.1018925)",0,0,0,0,0,0
11354.230717442586,"(40.772929, -73.9635462)",3,1,1,0,0,0
335.77533577533575,"(40.8307115, -73.9424229)",0,0,0,0,0,0
141.4700520842645,"(40.5980695, -73.7632649)",0,0,0,0,0,0
427.0696452036794,"(40.723245, -73.7293286)",0,1,0,0,0,0
404.55696202531647,"(40.5387812, -74.193378)",0,0,0,0,0,0
237.83287419651057,"(40.8246371, -73.8072061)",0,0,0,0,0,0
441.9378698224852,"(40.5143019, -74.2044734)",0,0,0,0,0,0
3182.396799418076,"(40.7143354, -74.0087443)",4,1,12,1,0,2
195.65217391304347,"(40.6109595, -74.060351)",0,0,0,0,0,0
195.65217391304347,"(40.6109595, -74.060351)",0,0,0,0,0,0
195.65217391304347,"(40.6109595, -74.060351)",0,0,0,0,0,0
195.65217391304347,"(40.6109595, -74.060351)",0,0,0,0,0,0
258.90410958904107,"(40.6109595, -74.060351)",0,0,0,0,0,0
258.90410958904107,"(40.6109595, -74.060351)",0,0,0,0,0,0
258.90410958904107,"(40.6109595, -74.060351)",0,0,0,0,0,0
258.90410958904107,"(40.6109595, -74.060351)",0,0,0,0,0,0
632.5,"(40.7881763, -73.7877051)",0,0,0,0,0,0
125.90376803615771,"(40.6366859, -73.9488175)",0,0,1,0,0,0
792.063492063492,"(40.7702318, -73.9610161)",3,1,3,0,0,1
571.83202282604,"(40.8822913, -73.9137305)",0,0,1,0,0,0
99.85714285714286,"(40.8224987, -73.8111568)",0,0,0,0,0,0
208.78721859114015,"(40.755049, -73.9136386)",0,0,1,0,0,0
467.88770053475935,"(40.824015, -73.9502067)",0,0,1,0,0,0
701.9568489714,"(40.7566899, -73.72075)",0,0,0,0,1,0
549.0693739424704,"(40.7302938, -73.8059248)",0,0,0,0,0,0
283.52272727272725,"(40.8663864, -73.8878945)",1,0,0,0,0,0
335.2490421455939,"(40.8176549, -73.8197053)",0,0,0,0,0,0
778.2101167315175,"(40.7832598, -73.976047)",0,0,3,0,4,2
136.36363636363637,"(40.574451, -74.0929448)",0,0,0,0,0,0
