,location,Starbucks,Whole Foods,Movie Theater,Equinox
354,"(40.7895034, -73.9769713)",1,1,1,1
355,"(40.5409077, -74.1964937)",0,0,0,0
356,"(40.8131429, -73.808397)",0,0,0,0
357,"(40.8524948, -73.9151397)",0,0,0,0
358,"(40.6541622, -73.8846778)",0,0,0,0
359,"(40.6826476, -73.9434923)",0,0,0,0
360,"(40.618915, -73.931211)",0,0,0,0
361,"(40.6268305, -74.1471405)",0,0,0,0
362,"(40.6826476, -73.9434923)",0,0,0,0
363,"(40.6826476, -73.9434923)",0,0,0,0
364,"(40.7779497, -73.959448)",4,0,1,2
365,"(40.8560699, -73.8688751)",1,0,0,0
366,"(40.6162917, -73.929914)",0,0,0,0
367,"(40.8181836, -73.812739)",0,0,0,0
368,"(40.7802813, -73.7818912)",1,0,1,0
369,"(40.6149561, -74.0745548)",0,0,0,0
370,"(40.6422956, -73.972787)",0,0,0,0
371,"(40.6279352, -74.0260154)",1,0,0,0
372,"(40.6192765, -74.09515)",0,0,0,0
373,"(40.7598591, -73.7290086)",0,0,0,0
374,"(40.7000145, -73.9010076)",0,0,0,0
375,"(40.7860789, -73.7928524)",0,0,0,0
376,"(40.5675492, -74.140764)",0,0,0,0
377,"(40.6799197, -73.8839962)",0,0,0,0
378,"(40.5525576, -74.1709014)",0,0,0,0
379,"(40.879078, -73.9175196)",0,0,0,0
380,"(40.6862289, -73.9364224)",0,0,0,0
381,"(40.6862289, -73.9364224)",0,0,0,0
382,"(40.8152029, -73.8154969)",0,0,0,0
383,"(40.9048823, -73.9051113)",0,0,0,0
384,"(40.7585686, -73.9669708)",5,1,2,2
385,"(40.8549429, -73.7908303)",0,0,0,0
386,"(40.777244, -73.9868738)",2,0,3,0
387,"(40.7083799, -73.8290102)",0,0,1,0
388,"(40.606691, -74.0724094)",0,0,0,0
389,"(40.6933533, -73.7503369)",0,0,0,0
390,"(40.7276196, -73.9848906)",3,0,4,0
391,"(40.6481943, -73.8452374)",0,0,0,0
392,"(40.525422, -74.166603)",0,0,0,0
393,"(40.6780476, -73.8056181)",0,0,0,0
